timestep,hour_of_day,day,p_load_mw,p_solar_mw,p_battery_mw,p_grid_mw,soc,v_min,v_max,v_mean,line_loading_max,v_severity,n_buses_below_090,renewable_pct,converged,blackout,severity,p_load_lag_1h,p_load_lag_3h,p_solar_lag_1h,soc_lag_1h,load_rolling_avg_6h,solar_rolling_avg_6h,v_min_rolling_min_6h,soc_rate_of_change,load_rate_of_change,load_solar_diff,grid_stress_index,solar_load_ratio,soc_deficit,v_violation_margin,net_power_balance,is_night,blackout_prob_ml,blackout_pred_ml,in_test_window,prediction_correct
62,14,2,3.397069,0.750218,0.0,2.646851,0.1,0.935587,1.0,0.968962,0.0002,0.0,0,22.08,1,0,0,3.439237,3.353819,1.124948,0.1,3.3819138333333334,1.2524836666666668,0.935587,0.0,-0.04216799999999976,2.646851,0.8131035500224316,0.22084266735745806,0.9,0.015586999999999906,-2.646851,0,0.000248,0,0,1
63,15,2,3.448314,0.234111,0.0,3.214202,0.1,0.926804,1.0,0.957653,0.0002,0.0,0,6.79,1,0,0,3.397069,3.379987,0.750218,0.1,3.3980618333333332,0.9863805,0.926804,0.0,0.05124499999999976,3.214203,0.9037194093764019,0.06789141943238945,0.9,0.006803999999999921,-3.214203,0,0.004385,0,0,1
64,16,2,3.491946,0.017431,0.0,3.474515,0.1,0.920102,1.0,0.952184,0.0002,0.0,0,0.5,1,0,0,3.448314,3.439237,0.234111,0.1,3.418395333333333,0.7430983333333333,0.920102,0.0,0.043632000000000115,3.474515,0.9437476821444594,0.004991771066399346,0.9,0.00010199999999993548,-3.474515,0,0.619278,1,0,0
65,17,2,3.525153,0.0,0.0,3.525153,0.1,0.917892,1.0,0.951291,0.0002,0.002108,2,0.0,1,1,3,3.491946,3.397069,0.017431,0.1,3.446951,0.5393566666666666,0.917892,0.0,0.033206999999999987,3.525153,0.9496323912068192,0.0,0.9,-0.0021079999999999988,-3.525153,0,0.966594,1,0,1
66,18,2,3.628402,0.0,0.0,3.628402,0.1,0.915286,1.0,0.949752,0.0002,0.004714,7,0.0,1,1,3,3.525153,3.448314,0.0,0.1,3.4883535,0.3544513333333333,0.915286,0.0,0.10324899999999992,3.628402,0.9588965455361148,0.0,0.9,-0.004713999999999996,-3.628402,0,0.96937,1,0,1
67,19,2,3.607703,0.0,0.0,3.607703,0.1,0.91581,1.0,0.950061,0.0002,0.00419,6,0.0,1,1,3,3.628402,3.491946,0.0,0.1,3.516431166666667,0.16696,0.915286,0.0,-0.020699000000000023,3.607703,0.9570393001345895,0.0,0.9,-0.004190000000000027,-3.607703,0,0.982178,1,0,1
68,20,2,3.497885,0.0,0.0,3.497885,0.1,0.918578,1.0,0.951696,0.0002,0.001422,2,0.0,1,1,1,3.607703,3.525153,0.0,0.1,3.5332338333333335,0.041923666666666665,0.915286,0.0,-0.10981799999999975,3.497885,0.9471857335127861,0.0,0.9,-0.0014220000000000343,-3.497885,0,0.954618,1,0,1
69,21,2,3.407598,0.0,0.0,3.407598,0.1,0.920842,1.0,0.953034,0.0002,0.0,0,0.0,1,0,0,3.497885,3.628402,0.0,0.1,3.5264478333333336,0.0029051666666666666,0.915286,0.0,-0.090287,3.407598,0.9390846119336026,0.0,0.9,0.0008420000000000094,-3.407598,1,0.811465,1,0,0
70,22,2,3.12735,0.0,0.0,3.12735,0.1,0.927808,1.0,0.957151,0.0002,0.0,0,0.0,1,0,0,3.407598,3.607703,0.0,0.1,3.4656818333333335,0.0,0.915286,0.0,-0.2802480000000003,3.12735,0.9139389860924182,0.0,0.9,0.007807999999999926,-3.12735,1,0.190402,0,0,1
71,23,2,2.572758,0.0,0.0,2.572758,0.1,0.941324,1.0,0.965148,0.0001,0.0,0,0.0,1,0,0,3.12735,3.497885,0.0,0.1,3.3069493333333333,0.0,0.915286,0.0,-0.554592,2.572758,0.8641774786899955,0.0,0.9,0.02132400000000001,-2.572758,1,0.009332,0,0,1
72,0,3,2.037505,0.0,0.0,2.037505,0.1,0.954051,1.0,0.97269,0.0001,0.0,0,0.0,1,0,0,2.572758,3.407598,0.0,0.1,3.0417998333333336,0.0,0.91581,0.0,-0.535253,2.037505,0.8161511888739345,0.0,0.9,0.03405099999999994,-2.037505,1,2.1e-05,0,0,1
73,1,3,1.725864,0.0,0.0,1.725864,0.1,0.961326,1.0,0.977005,0.0001,0.0,0,0.0,1,0,0,2.037505,3.12735,0.0,0.1,2.7281600000000004,0.0,0.918578,0.0,-0.31164099999999983,1.725864,0.7881887842081651,0.0,0.9,0.041325999999999974,-1.725864,1,2.6e-05,0,0,1
